Commune,Region,Departement,Nom_monument,Siecle,Latitude,Longitude;
Nevers,Bourgogne-Franche-Comte,Nievre,Tour Saint-Trohe,15e siecle,46.9926372299, 3.16788635493;
Cosne-Cours-sur-Loire,Bourgogne-Franche-Comte,Nievre,Eglise Saint-Jacques (ancienne collegiale Saint-Laurent),15e siecle,47.410786951, 2.92522916394;
La Chapelle-Saint-Andre,Bourgogne-Franche-Comte,Nievre,Chateau de Corbelin,15e siecle,47.3807674684, 3.33187265061;
La Fermete,Bourgogne-Franche-Comte,Nievre,Chateau de Cigogne,15e siecle,46.9805993634, 3.3491067682;
Anthien,Bourgogne-Franche-Comte,Nievre,Chateau de Villemolin,15e siecle,47.2872682389, 3.71937684572;
Saint-Pierre-le-Moûtier,Bourgogne-Franche-Comte,Nievre,Bailliage (ancien),15e siecle,46.7902515893, 3.11926411042;
Arthel,Bourgogne-Franche-Comte,Nievre,Chateau de la Motte,15e siecle,47.2436330584, 3.40319019852;
Nevers,Bourgogne-Franche-Comte,Nievre,Remparts (anciens),15e siecle,46.9867373523, 3.15389821926;
Bona,Bourgogne-Franche-Comte,Nievre,Chateau de Lichy,15e siecle,47.0773951852, 3.4154197255;
Epiry,Bourgogne-Franche-Comte,Nievre,Tour Vauban,15e siecle,47.1803101416, 3.72733909984;
Belfort,Bourgogne-Franche-Comte,Territoire de Belfort,Eglise de Brasse (ancienne)  actuellement chapelle du cimetiere,15e siecle,47.645521403, 6.85807736179 actuellement chapelle du cimetiere,15e siecle,47.645521403, 6.85807736179;
Marcilly-les-Vitteaux,Bourgogne-Franche-Comte,Cote-d'Or,Calvaire (restes),15e siecle,47.4017941456, 4.49925964464;
Sainte-Marie-la-Blanche,Bourgogne-Franche-Comte,Cote-d'Or,Eglise de l'Assomption,15e siecle,46.9802230565, 4.88785001602;
Semur-en-Auxois,Bourgogne-Franche-Comte,Cote-d'Or,Maisons du 15e siecle,15e siecle,47.4916674664, 4.32558135894;
Flavigny-sur-Ozerain,Bourgogne-Franche-Comte,Cote-d'Or,Maison Buret,15e siecle,47.5121238093, 4.53047769998;
Brain,Bourgogne-Franche-Comte,Cote-d'Or,Chapelle Saint-Claude,15e siecle,47.4632204875, 4.50675430977;
Saint-Seine-sur-Vingeanne,Bourgogne-Franche-Comte,Cote-d'Or,Chateau de Rosieres,15e siecle,47.4984818475, 5.40361633129;
Semur-en-Auxois,Bourgogne-Franche-Comte,Cote-d'Or,Maison du 15e siecle,15e siecle,47.4915807577, 4.32541938817;
Grosbois-en-Montagne,Bourgogne-Franche-Comte,Cote-d'Or,Chapelle de Vellemont,15e siecle,47.3186569402, 4.60858208163;
Ivry-en-Montagne,Bourgogne-Franche-Comte,Cote-d'Or,Chateau de Coraboeuf,15e siecle,47.0230430187, 4.63903924585;
Auvillars-sur-Saone,Bourgogne-Franche-Comte,Cote-d'Or,Eglise Sainte-Madeleine,15e siecle,47.0605090504, 5.10436766302;
Arnay-le-Duc,Bourgogne-Franche-Comte,Cote-d'Or,Ancien prieure,15e siecle,47.1314233742, 4.48583321005;
Chenove,Bourgogne-Franche-Comte,Cote-d'Or,Pressoirs des ducs de Bourgogne et le batiment qui les renferme,15e siecle,47.2919193275, 5.00044438499;
Auxonne,Bourgogne-Franche-Comte,Cote-d'Or,Porte Comte,15e siecle,47.1928521366, 5.39010114982;
Riel-les-Eaux,Bourgogne-Franche-Comte,Cote-d'Or,Grange cistercienne de Beaumont,15e siecle,48.023342772, 4.69914751641;
Villers-la-Faye,Bourgogne-Franche-Comte,Cote-d'Or,Chateau (ancien),15e siecle,47.1053769514, 4.87454084215;
Villeberny,Bourgogne-Franche-Comte,Cote-d'Or,Chateau de Villeberny,15e siecle,47.4439696016, 4.60138884256;
Villaines-en-Duesmois,Bourgogne-Franche-Comte,Cote-d'Or,Chapelle dite du Presbytere,15e siecle,47.6957935278, 4.49115675436;
Clomot,Bourgogne-Franche-Comte,Cote-d'Or,Chateau (ancien),15e siecle,47.1882366491, 4.48689015933;
Auxonne,Bourgogne-Franche-Comte,Cote-d'Or,Maison en pans de bois et briques,15e siecle,47.1934577239, 5.38803611011;
Trouhaut,Bourgogne-Franche-Comte,Cote-d'Or,Ancien prieure,15e siecle,47.3893099942, 4.75994132242;
Echevannes,Bourgogne-Franche-Comte,Cote-d'Or,Maison forte dite Ferme du Fosse (ancienne),15e siecle,47.5402505066, 5.14065858423;
Tillenay,Bourgogne-Franche-Comte,Cote-d'Or,Chapelle de la Levee d'Auxonne,15e siecle,47.1977177812, 5.35357029163;
Eguilly,Bourgogne-Franche-Comte,Cote-d'Or,Chateau d'Eguilly,15e siecle,47.3043754245, 4.50471583788;
Gommeville,Bourgogne-Franche-Comte,Cote-d'Or,Eglise Saint-Antoine,15e siecle,47.9606920439, 4.4920284443;
Pouillenay,Bourgogne-Franche-Comte,Cote-d'Or,Manoir,15e siecle,47.5029951995, 4.48287553365;
Clamerey,Bourgogne-Franche-Comte,Cote-d'Or,Chateau de Ledavree (restes),15e siecle,47.3796672439, 4.39575462519;
Chanceaux,Bourgogne-Franche-Comte,Cote-d'Or,Maison du 15e siecle,15e siecle,47.5201730355, 4.71762266077;
Vanvey,Bourgogne-Franche-Comte,Cote-d'Or,Chapelle Saint-Phal,15e siecle,47.8243545554, 4.71810868727;
Puligny-Montrachet,Bourgogne-Franche-Comte,Cote-d'Or,Chapelle du hameau de Blagny,15e siecle,46.9590347367, 4.74067014959;
Fontaine-les-Dijon,Bourgogne-Franche-Comte,Cote-d'Or,Eglise Saint-Bernard,15e siecle,47.3450894851, 5.01659814765;
Bremur-et-Vaurois,Bourgogne-Franche-Comte,Cote-d'Or,Chateau de Rocheprise,15e siecle,47.7337736631, 4.60343235653;
Dijon,Bourgogne-Franche-Comte,Cote-d'Or,Maison du 15e siecle,15e siecle,47.3229863726, 5.04303469618;
Dijon,Bourgogne-Franche-Comte,Cote-d'Or,Maison à&nbsp pans de bois,15e siecle,47.3219997443, 5.04591079616 pans de bois,15e siecle,47.3219997443, 5.04591079616;
Dijon,Bourgogne-Franche-Comte,Cote-d'Or,Maison du 15e siecle,15e siecle,47.3224176247, 5.04249818134;
Dijon,Bourgogne-Franche-Comte,Cote-d'Or,Maison du 15e siecle,15e siecle,47.3219709388, 5.03989405898;
Dijon,Bourgogne-Franche-Comte,Cote-d'Or,Eglise Saint-Etienne (ancienne),15e siecle,47.3209370199, 5.04406942297;
Carcassonne,Occitanie,Aude,Chapelle Notre-Dame-de-Sante,15e siecle,43.2103768652, 2.35812206637;
Azille,Occitanie,Aude,Ancienne chapelle des Clarisses,15e siecle,43.2769941471, 2.6590602147;
Castelnaudary,Occitanie,Aude,Eglise Saint-Jean-Baptiste,15e siecle,43.3174944934, 1.95586145542;
Lagrasse,Occitanie,Aude,Ancienne maison presbyterale,15e siecle,43.0905801489, 2.61975178847;
Narbonne,Occitanie,Aude,Maison dite de la Mothe,15e siecle,43.1854729399, 3.0050843412;
Bourigeole,Occitanie,Aude,Cimetiere,15e siecle,42.9885867018, 2.13779993913;
Caunes-Minervois,Occitanie,Aude,Chapelle du Crucifix,15e siecle,43.3239058941, 2.5237576683;
Narbonne,Occitanie,Aude,Ancienne eglise des Jacobins,15e siecle,43.181591248, 3.0048121803;
Narbonne,Occitanie,Aude,Maison dite de l'Aumone,15e siecle,43.1856727429, 3.00514583348;
Fleury,Occitanie,Aude,Tour dite de Balayard,15e siecle,43.2294909792, 3.1353812071;
Pieusse,Occitanie,Aude,Oratoire,15e siecle,43.0832429218, 2.23096807728;
Carcassonne,Occitanie,Aude,Ancien pont-Rouge,15e siecle,43.239993497, 2.37970527834;
Belpech,Occitanie,Aude,Ruines de la capelle Notre-Dame du Rosaire,15e siecle,43.1984833246, 1.75375877373;
Autoire,Occitanie,Lot,Ancien chateau de Limargue,15e siecle,44.8530381995, 1.81972193217;
Terrou,Occitanie,Lot,Chateau de Saint-Thamar,15e siecle,44.7889313156, 1.97988516338;
Rocamadour,Occitanie,Lot,Porte dite du Figuier,15e siecle,44.801362638, 1.61947386076;
Mercues,Occitanie,Lot,Chateau de Mercues,15e siecle,44.4963706794, 1.39475486474;
Sousceyrac,Occitanie,Lot,Chateau de Grugnac,15e siecle,44.885176881, 2.0249258566;
Gourdon,Occitanie,Lot,Maison du Senechal,15e siecle,44.7364274298, 1.38156863488;
Cezac,Occitanie,Lot,Eglise Saint-Clement,15e siecle,44.3290215586, 1.33203028922;
Floirac,Occitanie,Lot,Chapelle du 15e siecle,15e siecle,44.9166992589, 1.6555822268;
Beauregard,Occitanie,Lot,Vieille halle,15e siecle,44.3459256629, 1.79284064375;
Caillac,Occitanie,Lot,Chateau de la Grezette,15e siecle,44.49055, 1.350101;
Bouzies,Occitanie,Lot,Chateau de Condat,15e siecle,44.4822041005, 1.65290527736;
Saint-Cere,Occitanie,Lot,Ancienne maison consulaire,15e siecle,44.8611719954, 1.88974477366;
Lavergne,Occitanie,Lot,Pigeonnier-porche,15e siecle,44.797591348, 1.75653758219;
Rocamadour,Occitanie,Lot,Maison dite de la Paumette,15e siecle,44.7984717069, 1.61674593244;
Montcuq,Occitanie,Lot,Chateau de Charry,15e siecle,44.3180633392, 1.22316021582;
Cahors,Occitanie,Lot,Maison du 15e siecle,15e siecle,44.4462172001, 1.44164886696;
Saint-Cirq-Lapopie,Occitanie,Lot,Maison Liauzu-Vinel,15e siecle,44.464540494, 1.66957999182;
Saint-Cirq-Lapopie,Occitanie,Lot,Moulin à&nbsp eau,15e siecle,44.4668236431, 1.6751435368 eau,15e siecle,44.4668236431, 1.6751435368;
Saint-Vincent-Rive-d'Olt,Occitanie,Lot,Eglise Saint-Vincent,15e siecle,44.4658125955, 1.2998182369;
Cahors,Occitanie,Lot,Maison medievale,15e siecle,44.4493723287, 1.44249081099;
Capdenac,Occitanie,Lot,Fortifications,15e siecle,44.580052505, 2.06878319636;
Saint-Martin-de-Vers,Occitanie,Lot,Eglise Saint-Martin,15e siecle,44.5806447796, 1.55878077342;
Belaye,Occitanie,Lot,Chateau de Cousserand,15e siecle,44.4471732519, 1.20993651778;
Thegra,Occitanie,Lot,Cimetiere,15e siecle,44.825403, 1.760807;
Saint-Cirq-Lapopie,Occitanie,Lot,Maison du 15e siecle,15e siecle,44.4645673366, 1.66983426104;
Cahors,Occitanie,Lot,Maison Verdier,15e siecle,44.4452631274, 1.44312621582;
Couzou,Occitanie,Lot,Chateau de la Pannonie,15e siecle,44.77583031, 1.65673519028;
Linac,Occitanie,Lot,Chateau de Puy-Launay,15e siecle,44.6688224861, 2.10477640841;
Sauliac-sur-Cele,Occitanie,Lot,Chateau de Geniez,15e siecle,44.5186919223, 1.71853677528;
Cahors,Occitanie,Lot,Ancien couvent des Soeurs de Gramat,15e siecle,44.4505178872, 1.44130669052;
Pousthomy,Occitanie,Aveyron,Fontaine,15e siecle,43.8580967913, 2.61126647428;
Laguiole,Occitanie,Aveyron,Ancien presbytere,15e siecle,44.6843977272, 2.84545834086;
Sainte-Genevieve-sur-Argence,Occitanie,Aveyron,Chapelle de Mels,15e siecle,44.811129498, 2.72832911656;
Brommat,Occitanie,Aveyron,Maison du 15e siecle,15e siecle,44.8303600901, 2.68300516122;
Recoules-Previnquieres,Occitanie,Aveyron,Chateau du Mejanel,15e siecle,44.3197960475, 2.96987907104;
Saint-Georges-de-Luzencon,Occitanie,Aveyron,Chateau de Saint-Geniez de Bertrand,15e siecle,44.0425265187, 3.0225895419;
Rodez,Occitanie,Aveyron,Maison de Benoit,15e siecle,44.3503491849, 2.57508831775;
Toulonjac,Occitanie,Aveyron,Chateau de Toulonjac,15e siecle,44.3826234815, 1.99970037632;
Villefranche-de-Rouergue,Occitanie,Aveyron,Maison du 15e siecle,15e siecle,44.352415, 2.035781;
Saint-Chely-d'Aubrac,Occitanie,Aveyron,Tour de Bonnefon,15e siecle,44.5693503573, 2.94100959642;
Naucelle,Occitanie,Aveyron,Porte des Anglais,15e siecle,44.1979584482, 2.34072813043;
Villeneuve,Occitanie,Aveyron,Maison voisine de la porte de ville carree,15e siecle,44.4377426769, 2.0332803406;
Viala-du-Pas-de-Jaux,Occitanie,Aveyron,Tour,15e siecle,43.956880246, 3.0564993836;
Peyrusse-le-Roc,Occitanie,Aveyron,Ancienne porte de Ville dite Porte de la Barbacane,15e siecle,44.4972906946, 2.13836801977 dite Porte de la Barbacane,15e siecle,44.4972906946, 2.13836801977;
Brommat,Occitanie,Aveyron,Eglise d'Albinhac,15e siecle,44.8476525565, 2.71921507575;
Camjac,Occitanie,Aveyron,Chateau du Bosc,15e siecle,44.1643460083, 2.38102455732;
Livinhac-le-Haut,Occitanie,Aveyron,Deux maisons medievales,15e siecle,44.595705, 2.212739;
Salles-Curan,Occitanie,Aveyron,Maison du 15s,15e siecle,44.1825350911, 2.78666964601;
Nant,Occitanie,Aveyron,Pont sur la Dourbie,15e siecle,44.0229189329, 3.3043831067;
Saint-Sernin-sur-Rance,Occitanie,Aveyron,Maison du 15e siecle,15e siecle,43.8827761827, 2.60254350816;
La Couvertoirade,Occitanie,Aveyron,Eglise et ancien cimetiere,15e siecle,43.9125684208, 3.31786071756;
Villefranche-de-Rouergue,Occitanie,Aveyron,Maison Besson,15e siecle,44.3510017976, 2.03745471162;
Mur-de-Barrez,Occitanie,Aveyron,Vieille tour servant de porte de ville,15e siecle,44.8439204967, 2.66024533942;
Sainte-Genevieve-sur-Argence,Occitanie,Aveyron,Calvaire,15e siecle,44.8157907761, 2.7540479002;
Rodelle,Occitanie,Aveyron,Eglise de Lagnac,15e siecle,44.4897657179, 2.61106385323;
Espalion,Occitanie,Aveyron,Chateau de Masse,15e siecle,44.5395758342, 2.78616496766;
Flagnac,Occitanie,Aveyron,Ruines du chateau de Pagax,15e siecle,44.5846003656, 2.27143391698;
Saint-Geniez-d'Olt,Occitanie,Aveyron,Ancien couvent des Penitents,15e siecle,44.4657403414, 2.97322456978;
Saint-Come-d'Olt,Occitanie,Aveyron,Eglise Saint-Come,15e siecle,44.5150375359, 2.81516051302;
Caudies-de-Fenouilledes,Occitanie,Pyrenees-Orientales,Eglise Notre-Dame-de-Laval,15e siecle,42.8019503833, 2.38508037177;
Eus,Occitanie,Pyrenees-Orientales,Eglise Saint-Vincent,15e siecle,42.640107277, 2.45390015421;
Elne,Occitanie,Pyrenees-Orientales,Porte de Perpignan,15e siecle,42.6007445479, 2.9728037281;
Ria-Sirach,Occitanie,Pyrenees-Orientales,Eglise Saint-Clement de Sirach,15e siecle,42.6052801645, 2.40282004227;
Perpignan,Occitanie,Pyrenees-Orientales,Loge des Marchands ou Loge de Mer,15e siecle,42.6996471969, 2.89489253298;
Perpignan,Occitanie,Pyrenees-Orientales,Pierre incrustee,15e siecle,42.6990511293, 2.89804655339;
Puycelsi,Occitanie,Tarn,Chapelle Saint-Julien-le-Vieux,15e siecle,43.9543773169, 1.68044296961;
Souel,Occitanie,Tarn,Eglise Notre-Dame-de-l'Assomption,15e siecle,44.0307394064, 1.95512859981;
Cestayrols,Occitanie,Tarn,Eglise de Lincargue,15e siecle,43.9692943632, 1.99700183229;
Mailhoc,Occitanie,Tarn,Eglise Saint-Eloi,15e siecle,44.0049436583, 2.07021554833;
Lacaune,Occitanie,Tarn,Chateau de Calmel,15e siecle,43.70415, 2.709664;
Lescure-d'Albigeois,Occitanie,Tarn,Porte de ville dite Tour de l'Horloge,15e siecle,43.963277, 2.184602;
Albi,Occitanie,Tarn,Tour du Boutge,15e siecle,43.9295878814, 2.14442836915;
Palleville,Occitanie,Tarn,Chateau de Lastouzeilles,15e siecle,43.5056259697, 1.98663190435;
Giroussens,Occitanie,Tarn,Eglise paroissiale Saint-Salvy,15e siecle,43.7639838739, 1.77376645401;
Castelnau-de-Montmiral,Occitanie,Tarn,Ancienne Porte de ville,15e siecle,43.9653271862, 1.82080013945;
Vindrac-Alayrac,Occitanie,Tarn,Eglise Saint-Martin,15e siecle,44.066601446, 1.91252473674;
Albi,Occitanie,Tarn,Chateau de Cantepau,15e siecle,43.9448753296, 2.16231317752;
Gaillac,Occitanie,Tarn,Maison dite Pierre de Biens,15e siecle,43.8993951101, 1.89682684717;
Labastide-de-Levis,Occitanie,Tarn,Eglise Saint-Blaise,15e siecle,43.9266104193, 2.00918499468;
Paulinet,Occitanie,Tarn,Chateau de Paulin,15e siecle,43.8524248548, 2.40630144475;
Montirat,Occitanie,Tarn,Eglise Saint-Thomas de Canterbery de Lagarde-Viaur,15e siecle,44.1790165727, 2.06006599511 de Lagarde-Viaur,15e siecle,44.1790165727, 2.06006599511;
Cordes-sur-Ciel,Occitanie,Tarn,Chapelle du Saint-Crucifix,15e siecle,44.0651147653, 1.95427396051;
Labessiere-Candeil,Occitanie,Tarn,Chateau de Serres,15e siecle,43.8077150746, 2.00297636528;
Les Cabannes,Occitanie,Tarn,Eglise Saint-Antoine,15e siecle,44.0675315258, 1.93591696253;
Loubers,Occitanie,Tarn,Eglise Saint-Denis,15e siecle,44.0434203549, 1.89474251174;
Albi,Occitanie,Tarn,Ancienne commanderie de Rayssac,15e siecle,43.9045101475, 2.1985671484;
Montgey,Occitanie,Tarn,Ancienne eglise,15e siecle,43.5120374283, 1.93359507629;
Cordes-sur-Ciel,Occitanie,Tarn,Maison Goorsse,15e siecle,44.0630232966, 1.95308769045;
Lauzerte,Occitanie,Tarn-et-Garonne,Ancien couvent des Clarisses,15e siecle,44.2560390316, 1.13730715265;
Castelsarrasin,Occitanie,Tarn-et-Garonne,Maison du 15e siecle,15e siecle,44.0392435463, 1.1067522227;
Saint-Nicolas-de-la-Grave,Occitanie,Tarn-et-Garonne,Eglise Notre-Dame du Moutet,15e siecle,44.0492840841, 1.01616469681;
Caylus,Occitanie,Tarn-et-Garonne,Halles,15e siecle,44.2359845595, 1.76941713251;
Bruniquel,Occitanie,Tarn-et-Garonne,Maison dite Le Parlement,15e siecle,44.0556971778, 1.66569891151;
Parisot,Occitanie,Tarn-et-Garonne,Ancienne eglise Notre-Dame de Tisseyrolles,15e siecle,44.2555300372, 1.83884121686;
Lacapelle-Livron,Occitanie,Tarn-et-Garonne,Chapelle Notre-Dame-des-Graces,15e siecle,44.2621588339, 1.78179826362;
Moissac,Occitanie,Tarn-et-Garonne,Metairie du Castanet,15e siecle,44.0955563702, 1.06606967706;
Lachapelle,Occitanie,Tarn-et-Garonne,Eglise Saint-Pierre,15e siecle,43.985886, 0.839076;
Grisolles,Occitanie,Tarn-et-Garonne,Musee Jean de Comere,15e siecle,43.8277001858, 1.2947039048;
Saint-Antonin-Noble-Val,Occitanie,Tarn-et-Garonne,Moulin à&nbsp huile de noix,15e siecle,44.1517547988, 1.75495186448 huile de noix,15e siecle,44.1517547988, 1.75495186448;
Montpezat-de-Quercy,Occitanie,Tarn-et-Garonne,Maison à&nbsp pans de bois et briques du 15e siecle,15e siecle,44.238917, 1.472236 pans de bois et briques du 15e siecle,15e siecle,44.238917, 1.472236;
Maubec,Occitanie,Tarn-et-Garonne,Eglise Saint-Orens,15e siecle,43.809261, 0.917612;
Savenes,Occitanie,Tarn-et-Garonne,Eglise Notre-Dame de l'Assomption,15e siecle,43.8349790299, 1.19509718051;
Dunes,Occitanie,Tarn-et-Garonne,Maisons,15e siecle,44.087557, 0.770238;
Saint-Antonin-Noble-Val,Occitanie,Tarn-et-Garonne,Maison Leris,15e siecle,44.1515461239, 1.75653328625;
Saint-Antonin-Noble-Val,Occitanie,Tarn-et-Garonne,Caserne des Anglais,15e siecle,44.1518040545, 1.75615919117;
Vazerac,Occitanie,Tarn-et-Garonne,Eglise Saint-Julien,15e siecle,44.1901905807, 1.28555541349;
Caylus,Occitanie,Tarn-et-Garonne,Eglise Saint-Jean-Baptiste,15e siecle,44.2358106372, 1.77172496519;
Montaigu-de-Quercy,Occitanie,Tarn-et-Garonne,Eglise Saint-Pierre de Pervillac,15e siecle,44.3451896066, 1.06378587941;
Lacapelle-Livron,Occitanie,Tarn-et-Garonne,Maison du 15e siecle,15e siecle,44.266789, 1.793846;
Negrepelisse,Occitanie,Tarn-et-Garonne,Eglise Saint-Pierre-es-Liens,15e siecle,44.0756013701, 1.52255977561;
Labourgade,Occitanie,Tarn-et-Garonne,Chateau de Terride,15e siecle,43.9587600854, 1.08732298643;
Espinas,Occitanie,Tarn-et-Garonne,Chateau de Cas,15e siecle,44.196836, 1.773192;
Cumont,Occitanie,Tarn-et-Garonne,Chateau des Fours,15e siecle,43.865993, 0.900066;
Bazian,Occitanie,Gers,Tour fortifiee,15e siecle,43.671072, 0.321798;
Tillac,Occitanie,Gers,Maison de la Bastide,15e siecle,43.481819, 0.272492;
Montreal,Occitanie,Gers,Eglise de Luzanet,15e siecle,43.953241, 0.192284;
Labrihe,Occitanie,Gers,Chateau de Bouvees,15e siecle,43.754929, 0.886446;
Eauze,Occitanie,Gers,Maison du 15e siecle,15e siecle,43.859553, 0.1012;
Auch,Occitanie,Gers,Ancien couvent des Jacobins,15e siecle,43.647171, 0.587482;
Gazax-et-Baccarisse,Occitanie,Gers,Ancienne eglise de Baccarisse,15e siecle,43.600699, 0.199942;
Larroque-sur-l'Osse,Occitanie,Gers,Eglise de Heux,15e siecle,43.982501, 0.281948;
Barran,Occitanie,Gers,Chateau de Mazeres,15e siecle,43.629655, 0.468703;
Castera-Lectourois,Occitanie,Gers,Eglise Sainte-Madeleine,15e siecle,44.000311, 0.626355;
Aignan,Occitanie,Gers,Eglise Saint-Jacques de Fromentas,15e siecle,43.687228, 0.083108;
Saint-Arailles,Occitanie,Gers,Chapelle du cimetiere,15e siecle,43.6580833208797, -0.0859474484649098;
Auch,Occitanie,Gers,Maison du 15e siecle,15e siecle,43.646755, 0.584921;
Juilles,Occitanie,Gers,Grange cistercienne de La Grange,15e siecle,43.60638, 0.827736;
Altier,Occitanie,Lozere,Chateau du Champ,15e siecle,44.4707251023, 3.85104687284;
Ispagnac,Occitanie,Lozere,Monastere des Ursulines,15e siecle,44.3700759986, 3.53655718558;
Le Malzieu-Ville,Occitanie,Lozere,Ancien couvent des Ursulines,15e siecle,44.8562484959, 3.3305843155;
Saint-Bonnet-de-Montauroux,Occitanie,Lozere,Chateau de Condres,15e siecle,44.8212956518, 3.74585717413;
Le Malzieu-Ville,Occitanie,Lozere,Remparts,15e siecle,44.8556623572, 3.33192100987;
Fraissinet-de-Lozere,Occitanie,Lozere,Ensemble d'architecture rurale,15e siecle,44.3743045009, 3.70130172767;
Ventenac,Occitanie,Ariege,Chapelle du Bousquet,15e siecle,42.9951285183, 1.72974191587;
Mazeres,Occitanie,Ariege,Maison des Comtes de Foix,15e siecle,43.251456802, 1.67996295089;
Mirepoix,Occitanie,Ariege,Maison du 15e siecle dite maison des Consuls,15e siecle,43.0886582282, 1.87456263161;
Fornex,Occitanie,Ariege,Chateau de Fornex,15e siecle,43.1699527778, 1.24986145931;
Engomer,Occitanie,Ariege,Eglise Saint-Michel,15e siecle,42.9412105831, 1.05480941391;
Prat-Bonrepaux,Occitanie,Ariege,Chateau de Prat,15e siecle,43.0299995425, 1.01525060177;
Leran,Occitanie,Ariege,Chateau de Leran,15e siecle,42.9903490335, 1.91154096869;
Leychert,Occitanie,Ariege,Eglise Sainte-Anne,15e siecle,42.9448287969, 1.72823393314;
Massat,Occitanie,Ariege,Eglise de la Nativite de la Vierge,15e siecle,42.8896730322, 1.34729101344;
Aulon,Occitanie,Hautes-Pyrenees,Eglise Saint-Felix,15e siecle,42.851354, 0.286217;
Argeles-Gazost,Occitanie,Hautes-Pyrenees,Chateau d'Ourout,15e siecle,43.0036075273, -0.102179583571;
Aucun,Occitanie,Hautes-Pyrenees,Vestiges de la tour,15e siecle,42.9741106904, -0.191495025732;
Sariac-Magnoac,Occitanie,Hautes-Pyrenees,Eglise de l'Assomption,15e siecle,43.309487, 0.555084;
Soublecause,Occitanie,Hautes-Pyrenees,Eglise Saint-Andre,15e siecle,43.5307818415, -0.0191278230858;
Arrens-Marsous,Occitanie,Hautes-Pyrenees,Eglise d'Arrens,15e siecle,42.9561085518, -0.214921957755;
Beaudean,Occitanie,Hautes-Pyrenees,Eglise Saint-Martin,15e siecle,43.007983, 0.141661;
Loubajac,Occitanie,Hautes-Pyrenees,Eglise Saint-Saturnin,15e siecle,43.1339983773, -0.0804866932799;
Alan,Occitanie,Haute-Garonne,Ancien eveche,15e siecle,43.218618, 0.929833;
Rieux-Volvestre,Occitanie,Haute-Garonne,Maison à&nbsp pans de bois,15e siecle,43.2579970254, 1.20323376948 pans de bois,15e siecle,43.2579970254, 1.20323376948;
Saint-Felix-Lauragais,Occitanie,Haute-Garonne,Presbytere,15e siecle,43.4491507086, 1.88622152196;
Blagnac,Occitanie,Haute-Garonne,Oratoire de Saint-Exupere,15e siecle,43.6377301538, 1.39596411773;
Saint-Felix-Lauragais,Occitanie,Haute-Garonne,Halle,15e siecle,43.4490462059, 1.88783130538;
Aspet,Occitanie,Haute-Garonne,Fontaine,15e siecle,43.01513, 0.803564;
Saint-Felix-Lauragais,Occitanie,Haute-Garonne,Maison à&nbsp cote du presbytere,15e siecle,43.4491554373, 1.88590750193 cote du presbytere,15e siecle,43.4491554373, 1.88590750193;
Cires,Occitanie,Haute-Garonne,Maison du 15e siecle,15e siecle,42.852449, 0.518242;
Bourg-Saint-Bernard,Occitanie,Haute-Garonne,Eglise Saint-Bernard,15e siecle,43.6029479528, 1.71273885462;
Auriac-sur-Vendinelle,Occitanie,Haute-Garonne,Maison Sarda de Caumont dependant de l'ancien chateau,15e siecle,43.5248567652, 1.827091175;
Montgiscard,Occitanie,Haute-Garonne,Eglise Saint-Andre,15e siecle,43.4576281656, 1.57457630319;
Cintegabelle,Occitanie,Haute-Garonne,Eglise Notre-Dame,15e siecle,43.3129839795, 1.53250940611;
Mayregne,Occitanie,Haute-Garonne,Tour,15e siecle,42.840275, 0.541998;
Caraman,Occitanie,Haute-Garonne,Chateau du Croisillat,15e siecle,43.5182272333, 1.78890068864;
Montesquieu-Volvestre,Occitanie,Haute-Garonne,Chateau de Palays,15e siecle,43.1845091472, 1.25322831302;
Verfeil,Occitanie,Haute-Garonne,Citadelle,15e siecle,43.6572697837, 1.66133483202;
Lherm,Occitanie,Haute-Garonne,Eglise Saint-Andre,15e siecle,43.429771098, 1.22342912958;
Toulouse,Occitanie,Haute-Garonne,Ancienne maison de Calas,15e siecle,43.5993674743, 1.44409625409;
Toulouse,Occitanie,Haute-Garonne,Tour de Guillaume Garreri,15e siecle,43.5966435393, 1.44595334157;
Toulouse,Occitanie,Haute-Garonne,Palais de Justice,15e siecle,43.5939086143, 1.44557171167;
Toulouse,Occitanie,Haute-Garonne,Chapelle Notre-Dame-de-Nazareth,15e siecle,43.5961543841, 1.44611209884;
Toulouse,Occitanie,Haute-Garonne,Eglise Saint-Nicolas,15e siecle,43.5991843579, 1.43421762368;
Uzes,Occitanie,Gard,Mas de Mayac,15e siecle,44.0302089946, 4.41375389597;
Marguerittes,Occitanie,Gard,Ancienne eglise paroissiale St-Pierre dite chapelle du Chateau,15e siecle,43.85939237, 4.44411915823;
Beaucaire,Occitanie,Gard,Maison dite Maison gothique,15e siecle,43.8085069137, 4.64620054865;
Calvisson,Occitanie,Gard,Eglise Saint-Saturnin,15e siecle,43.7858422038, 4.19392527155;
Bagnols-sur-Ceze,Occitanie,Gard,Manoir de Maransan,15e siecle,44.174940116, 4.64132992773;
Uzes,Occitanie,Gard,Mas Vieux de Mayac,15e siecle,44.0264805174, 4.40955722425;
Beaucaire,Occitanie,Gard,Musee,15e siecle,43.8071170653, 4.64608843528;
Navacelles,Occitanie,Gard,Chateau eglise et presbytere,15e siecle,44.1626878496, 4.240728451 eglise et presbytere,15e siecle,44.1626878496, 4.240728451;
